index;OrderDate;Country;LineTotal;ProductName;ProductNumber;Class;Product_name;Size
0;2011-05-31;AU;3399.99;Mountain-100 Silver, 44;BK-M82S-44;H;Mountain-100 Silver; 44
11;2011-05-31;AU;809.76;HL Mountain Frame - Black, 48;FR-M94B-48;H;HL Mountain Frame - Black; 48
25;2011-05-31;AU;4049.988;Mountain-100 Black, 44;BK-M82B-44;H;Mountain-100 Black; 44
27;2011-05-31;AU;2039.994;Mountain-100 Silver, 44;BK-M82S-44;H;Mountain-100 Silver; 44
40;2011-05-31;AU;4079.988;Mountain-100 Silver, 44;BK-M82S-44;H;Mountain-100 Silver; 44
41;2011-05-31;AU;2024.994;Mountain-100 Black, 42;BK-M82B-42;H;Mountain-100 Black; 42
44;2011-05-31;AU;2039.994;Mountain-100 Silver, 48;BK-M82S-48;H;Mountain-100 Silver; 48
50;2011-05-31;AU;2146.962;Road-150 Red, 56;BK-R93R-56;H;Road-150 Red; 56
64;2011-05-31;AU;2039.994;Mountain-100 Silver, 48;BK-M82S-48;H;Mountain-100 Silver; 48
65;2011-05-31;AU;6074.982;Mountain-100 Black, 44;BK-M82B-44;H;Mountain-100 Black; 44
66;2011-05-31;AU;2039.994;Mountain-100 Silver, 42;BK-M82S-42;H;Mountain-100 Silver; 42
72;2011-05-31;AU;4079.988;Mountain-100 Silver, 44;BK-M82S-44;H;Mountain-100 Silver; 44
79;2011-05-31;AU;10124.97;Mountain-100 Black, 38;BK-M82B-38;H;Mountain-100 Black; 38
86;2011-05-31;AU;2097.2945;Road-650 Red, 44;BK-R50R-44;L;Road-650 Red; 44
109;2011-05-31;AU;367.8764;LL Road Frame - Red, 44;FR-R38R-44;L;LL Road Frame - Red; 44
117;2011-05-31;AU;838.9178;Road-650 Red, 52;BK-R50R-52;L;Road-650 Red; 52
125;2011-05-31;AU;838.9178;Road-650 Red, 44;BK-R50R-44;L;Road-650 Red; 44
126;2011-05-31;AU;419.4589;Road-650 Black, 52;BK-R50B-52;L;Road-650 Black; 52
139;2011-05-31;AU;419.4589;Road-650 Red, 60;BK-R50R-60;L;Road-650 Red; 60
140;2011-05-31;AU;838.9178;Road-650 Black, 52;BK-R50B-52;L;Road-650 Black; 52
