Date de commande;Identifiant du pays;Revenu;Identifiant du produit;Nom du produit;Taille;Identifiant de classe;Nom de classe
2013-01-04;CA;2181.5625;BK-R89B-58;Road-250 Black;58;H;High
2013-01-13;FR;2181.5625;BK-R89R-58;Road-250 Red;58;H;High
2013-01-28;CA;6544.6875;BK-R89B-58;Road-250 Black;58;H;High
2013-01-28;CA;2617.875;BK-R89B-58;Road-250 Black;58;H;High
2013-01-28;FR;5235.75;BK-R89B-58;Road-250 Black;58;H;High
2013-01-28;FR;5235.75;BK-R89R-58;Road-250 Red;58;H;High
2013-01-28;FR;6544.6875;BK-R89B-58;Road-250 Black;58;H;High
2013-01-28;FR;3926.8125;BK-R89R-58;Road-250 Red;58;H;High
2013-01-30;FR;2181.5625;BK-R89R-58;Road-250 Red;58;H;High
2013-02-08;FR;2181.5625;BK-R89B-58;Road-250 Black;58;H;High
2013-02-10;FR;2181.5625;BK-R89B-58;Road-250 Black;58;H;High
2013-02-12;FR;2181.5625;BK-R89R-58;Road-250 Red;58;H;High
2013-02-27;FR;2181.5625;BK-R89B-58;Road-250 Black;58;H;High
2013-02-28;CA;7853.625;BK-R89B-58;Road-250 Black;58;H;High
2013-02-28;CA;1308.9375;BK-R89R-58;Road-250 Red;58;H;High
2013-02-28;FR;2181.5625;BK-R89R-58;Road-250 Red;58;H;High
2013-02-28;FR;2181.5625;BK-R89B-58;Road-250 Black;58;H;High
2013-02-28;FR;1561.6364;FR-R92R-62;HL Road Frame - Red;62;H;High
2013-02-28;FR;3123.2728;FR-R92R-62;HL Road Frame - Red;62;H;High
2013-02-28;FR;6544.6875;BK-R89B-58;Road-250 Black;58;H;High
2013-02-28;FR;780.8182;FR-R92R-62;HL Road Frame - Red;62;H;High
2013-02-28;FR;9162.5625;BK-R89R-58;Road-250 Red;58;H;High
2013-03-14;FR;2181.5625;BK-R89B-58;Road-250 Black;58;H;High
2013-03-19;FR;2181.5625;BK-R89B-58;Road-250 Black;58;H;High
2013-03-28;FR;2181.5625;BK-R89R-58;Road-250 Red;58;H;High
2013-03-30;CA;5235.75;BK-R89B-58;Road-250 Black;58;H;High
2013-03-30;CA;5235.75;BK-R89B-58;Road-250 Black;58;H;High
2013-03-30;CA;1308.9375;BK-R89R-58;Road-250 Red;58;H;High
2013-03-30;CA;1561.6364;FR-R92R-62;HL Road Frame - Red;62;H;High
2013-03-30;CA;1308.9375;BK-R89B-58;Road-250 Black;58;H;High
2013-03-30;CA;1561.6364;FR-R92R-62;HL Road Frame - Red;62;H;High
2013-03-30;CA;780.8182;FR-R92R-62;HL Road Frame - Red;62;H;High
2013-03-30;CA;2617.875;BK-R89R-58;Road-250 Red;58;H;High
2013-03-30;CA;1308.9375;BK-R89B-58;Road-250 Black;58;H;High
2013-03-30;CA;3926.8125;BK-R89R-58;Road-250 Red;58;H;High
2013-03-30;CA;5235.75;BK-R89R-58;Road-250 Red;58;H;High
2013-03-30;CA;2617.875;BK-R89R-58;Road-250 Red;58;H;High
2013-03-30;FR;3926.8125;BK-R89R-58;Road-250 Red;58;H;High
2013-03-30;FR;6544.6875;BK-R89R-58;Road-250 Red;58;H;High
2013-03-30;FR;9162.5625;BK-R89B-58;Road-250 Black;58;H;High
2013-03-30;FR;5235.75;BK-R89B-58;Road-250 Black;58;H;High
2013-03-30;FR;1308.9375;BK-R89R-58;Road-250 Red;58;H;High
2013-03-31;FR;2181.5625;BK-R89B-58;Road-250 Black;58;H;High
2013-04-14;FR;2181.5625;BK-R89B-58;Road-250 Black;58;H;High
2013-04-30;CA;2342.4546;FR-R92R-62;HL Road Frame - Red;62;H;High
2013-04-30;FR;1308.9375;BK-R89B-58;Road-250 Black;58;H;High
2013-04-30;FR;5235.75;BK-R89R-58;Road-250 Red;58;H;High
2013-04-30;FR;7853.625;BK-R89R-58;Road-250 Red;58;H;High
2013-04-30;FR;6544.6875;BK-R89B-58;Road-250 Black;58;H;High
2013-04-30;FR;3926.8125;BK-R89R-58;Road-250 Red;58;H;High
2013-04-30;FR;780.8182;FR-R92R-62;HL Road Frame - Red;62;H;High
2013-05-06;FR;2181.5625;BK-R89B-58;Road-250 Black;58;H;High
2013-05-07;FR;2181.5625;BK-R89R-58;Road-250 Red;58;H;High
2013-05-14;FR;2181.5625;BK-R89B-58;Road-250 Black;58;H;High
2013-05-15;FR;2181.5625;BK-R89B-58;Road-250 Black;58;H;High
2013-05-18;FR;2181.5625;BK-R89B-58;Road-250 Black;58;H;High
2013-05-26;FR;2181.5625;BK-R89R-58;Road-250 Red;58;H;High
2013-05-30;CA;2932.02;BK-R89R-58;Road-250 Red;58;H;High
2013-05-30;CA;1807.038;FR-T98Y-60;HL Touring Frame - Yellow;60;H;High
2013-05-30;CA;1907.256;BK-T79Y-60;Touring-1000 Yellow;60;H;High
2013-05-30;CA;6023.46;FR-T98U-60;HL Touring Frame - Blue;60;H;High
2013-05-30;CA;5864.04;BK-R89R-58;Road-250 Red;58;H;High
2013-05-30;CA;3435.6;FR-R92R-62;HL Road Frame - Red;62;H;High
2013-05-30;CA;1430.442;BK-T79U-60;Touring-1000 Blue;60;H;High
2013-05-30;CA;602.346;FR-T98Y-60;HL Touring Frame - Yellow;60;H;High
2013-05-30;CA;4398.03;BK-R89B-58;Road-250 Black;58;H;High
2013-05-30;CA;3614.076;FR-T98U-60;HL Touring Frame - Blue;60;H;High
2013-05-30;CA;858.9;FR-R92R-62;HL Road Frame - Red;62;H;High
2013-05-30;FR;2443.35;BK-R89R-58;Road-250 Red;58;H;High
2013-05-30;FR;1430.442;BK-T79U-60;Touring-1000 Blue;60;H;High
2013-05-30;FR;953.628;BK-T79Y-60;Touring-1000 Yellow;60;H;High
2013-05-30;FR;953.628;BK-T79Y-60;Touring-1000 Yellow;60;H;High
2013-05-30;FR;8796.06;BK-R89R-58;Road-250 Red;58;H;High
2013-05-30;FR;7152.21;BK-T79U-60;Touring-1000 Blue;60;H;High
2013-05-30;FR;1204.692;FR-T98Y-60;HL Touring Frame - Yellow;60;H;High
2013-05-30;FR;1430.442;BK-T79U-60;Touring-1000 Blue;60;H;High
2013-05-30;FR;1430.442;BK-T79U-60;Touring-1000 Blue;60;H;High
2013-05-30;FR;4398.03;BK-R89B-58;Road-250 Black;58;H;High
2013-05-30;FR;1717.8;FR-R92R-62;HL Road Frame - Red;62;H;High
2013-05-30;FR;10013.094;BK-T79U-60;Touring-1000 Blue;60;H;High
2013-05-30;FR;602.346;FR-T98U-60;HL Touring Frame - Blue;60;H;High
2013-05-30;FR;2576.7;FR-R92R-62;HL Road Frame - Red;62;H;High
2013-05-30;FR;3435.6;FR-R92R-62;HL Road Frame - Red;62;H;High
2013-05-30;FR;11443.536;BK-T79Y-60;Touring-1000 Yellow;60;H;High
2013-05-30;FR;858.9;FR-R92R-62;HL Road Frame - Red;62;H;High
2013-06-12;FR;2443.35;BK-R89R-58;Road-250 Red;58;H;High
2013-06-13;FR;2443.35;BK-R89R-58;Road-250 Red;58;H;High
2013-06-20;CA;2443.35;BK-R89B-58;Road-250 Black;58;H;High
2013-06-22;FR;2443.35;BK-R89R-58;Road-250 Red;58;H;High
2013-06-29;FR;2443.35;BK-R89B-58;Road-250 Black;58;H;High
2013-06-30;CA;602.346;FR-T98U-60;HL Touring Frame - Blue;60;H;High
2013-06-30;CA;2860.884;BK-T79Y-60;Touring-1000 Yellow;60;H;High
2013-06-30;CA;1466.01;BK-R89R-58;Road-250 Red;58;H;High
2013-06-30;CA;2409.384;FR-T98Y-60;HL Touring Frame - Yellow;60;H;High
2013-06-30;CA;858.9;FR-R92R-62;HL Road Frame - Red;62;H;High
2013-06-30;CA;858.9;FR-R92R-62;HL Road Frame - Red;62;H;High
2013-06-30;CA;2576.7;FR-R92R-62;HL Road Frame - Red;62;H;High
2013-06-30;CA;2409.384;FR-T98U-60;HL Touring Frame - Blue;60;H;High
2013-06-30;CA;4398.03;BK-R89R-58;Road-250 Red;58;H;High
2013-06-30;CA;1204.692;FR-T98U-60;HL Touring Frame - Blue;60;H;High
