Customer;Description;Revenue;Salesperson
   ABC  Travel  ;DeskJet 895Cse / 27.01.2017;230;jack Bauer
   ABC  Travel  ;Fax Paper / 24.01.2017;240;jack Bauer
 Adam's Surplus;Fax Paper / 06.01.2017;240;mary Poppins
   Benson   and   Kerns;HP Printer / 27.01.2017;275;Leia organa
   Benson   and   Kerns;HP Printer / 12.01.2017;275;Leia organa
 Buck Hill Ski Resort;HP Printer / 07.01.2017;275;carrie Bradshaw
 Camdens;640 Fax Machine / 26.01.2017;345;sarah Connor
 Camdens;640 Fax Machine / 28.01.2017;345;sarah Connor
 Camdens;640 Fax Machine / 21.01.2017;345;sarah Connor
 Camdens;640 Fax Machine / 22.01.2017;345;sarah Connor
 Camdens;HP Printer / 11.01.2017;275;Katniss everdeen
 Camdens;Laser Paper / 08.01.2017;350;Leia organa
  City of   Chaska;HP Printer / 22.01.2017;1650;dana Scully
  City of   Chaska;HP Printer / 06.01.2017;1650;dana Scully
  City of   Chaska;HP Printer / 07.01.2017;825;dana Scully
  City of   Chaska;HP Printer / 19.01.2017;825;dana Scully
 Dahlton's;DeskJet 895Cse / 13.01.2017;460;luke Skywalker
 Dahlton's;DeskJet 895Cse / 17.02.2017;230;luke Skywalker
 Dahlton's;DeskJet 895Cse / 14.02.2017;690;luke Skywalker
 Electric Beach;640 Fax Machine / 01.02.2017;345;mary Poppins
 EPPD;Cannon Printer / 03.02.2017;220;dana Scully
 EPPD;MW Copier / 17.02.2017;220;dana Scully
 Giant's Ridge Villas;HP Printer / 09.02.2017;275;carrie Bradshaw
 Gidget's Gadgets;HP Printer / 25.02.2017;275;carrie Bradshaw
 Harvey's;HP Scanner / 21.02.2017;1760;dana Scully
 Long Lake Landing;HP Printer / 25.02.2017;275;Katniss everdeen
 Mike's Sport Shop;MW Copier / 23.02.2017;220;dana Scully
  Surry  Memorial   Hospital;640 Fax Machine / 24.02.2017;345;James bond
  Surry  Memorial   Hospital;640 Fax Machine / 10.02.2017;345;James bond
   Zambito's Zamboni;200SX Copier / 10.02.2017;295;Forrest gump
   Zambito's Zamboni;200SX Copier / 01.02.2017;590;Forrest gump
